,Search_for,University_name,State_location
208,North Maharashtra University,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,"University in Jalgaon, Maharashtra"
209,Lalit Narayan Mithila University,Lalit Narayan Mithila University,"Public university in Darbhanga, Bihar"
210,Siksha 'O' Anusandhan university (soau),Siksha 'O' Anusandhan (Deemed to be University),"Deemed university in Bhubaneswar, Odisha"
211,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
212,Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
213,Jawaharlal Nehru Technological University Hyderabad,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
214,Jawaharlal Nehru Technological University Hyderabad,Jawaharlal Nehru Technological University Hyderabad,"Public university in Hyderabad, Telangana"
215,JNTU KAKINADA,"Jawaharlal Nehru Technological University, Kakinada","University in Kakinada, Andhra Pradesh"
216,Savitrabai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
217,Savitribai phule pune university,Savitribai Phule Pune University,"University in Pune, Maharashtra"
218,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Rajiv Gandhi Proudyogiki Vishwavidyalaya,"University in Bhopal, Madhya Pradesh"
219,MANIPAL UNIVERSITY JAIPUR,Manipal University Jaipur,"Co-education in Jaipur, Rajasthan"
220,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
